Provider ID,Provider Name,Location,Process Month,Gross Charges ($),Adjustments ($),Payments ($),POS Cash Collected ($),AR Balance ($),AR Snapshot,AR Days,Avg Days to Bill,Payment Rate (%),Visit Count,New Patient (%),Charges per Visit ($),Payments per Visit ($),Pat Payment per Visit ($),RVU Work Unit,Medical Service,Denial Reason
P1007,Dr. Chen,Clinic D,September 2023,910000,46500,186000,15500,124000,Final Bill,36,2.4,91,800,25,387.50,232.50,19.38,1200,Surgical Procedures,Incomplete Information
P1003,Dr. Lee,Clinic C,October 2023,590000,88500,354000,29500,236000,Final Bill,49,4.1,81,1550,11,380.65,228.39,19.03,2250,Surgical Procedures,Incomplete Information
P1004,Dr. Patel,Clinic B,October 2023,500000,75000,300000,25000,200000,Final Bill,45,3.2,85,1200,15,416.67,250.00,20.83,1850,Surgical Procedures,Incomplete Information
P1001,Dr. Smith,Clinic A,October 2023,350000,52500,210000,18000,140000,Final Bill,42,3.5,82,850,10,411.76,247.06,21.18,1300,Surgical Procedures,Incorrect Coding
P1002,Dr. Johnson,Clinic A,November 2023,820000,63000,252000,21000,168000,DFNB in Suspense,40,2.8,88,1050,20,400.00,240.00,20.00,1600,Surgical Procedures,Incorrect Coding
P1006,Dr. Wilson,Clinic C,November 2023,800000,90000,360000,30000,240000,DFNB in Suspense,50,4.0,80,1500,12,400.00,240.00,20.00,2200,Rehabilitative Services,Eligibility Issues
P1007,Dr. Chen,Clinic D,November 2023,675000,41250,165000,13750,110000,DFNB in Suspense,38,2.5,89,700,18,392.86,235.71,19.64,1100,Rehabilitative Services,Eligibility Issues
P1003,Dr. Lee,Clinic C,December 2023,840000,66000,264000,22000,176000,DFNB in Suspense,41,2.9,87,1100,22,400.00,240.00,21.82,1650,Rehabilitative Services,Incomplete Information
P1004,Dr. Patel,Clinic B,December 2023,910000,46500,186000,15500,124000,DFNB in Suspense,36,2.4,91,800,25,387.50,232.50,19.38,1200,Rehabilitative Services,Incomplete Information
P1007,Dr. Chen,Clinic D,December 2023,975000,41250,165000,13750,110000,DFNB in Suspense,38,2.5,89,700,18,392.86,235.71,19.64,1100,Rehabilitative Services,Incorrect Coding
